contigName	contigLen	totalAvgDepth	ERR13958310.sorted.bam	ERR13958310.sorted.bam-var
k141_75028	1566	10.6476	10.6476	17.369
k141_28137	2567	9.59702	9.59702	11.9402
k141_46896	1858	6.91159	6.91159	7.91194
k141_56277	1504	5.90916	5.9099	8.32441
k141_65653	2938	6.68077	6.68077	12.0301
k141_75033	1931	7.84784	7.84784	11.4223
k141_18767	2245	6.26301	6.26301	10.8997
k141_56278	2648	7.08487	7.08487	6.84343
k141_103169	3472	7.8224	7.8224	10.2293
k141_18768	2443	10.4645	10.4645	16.9373
k141_93796	3306	7.12009	7.12009	11.5998
k141_37535	1753	8.51965	8.51965	28.4346
k141_56284	1769	11.1384	11.1384	18.123
k141_28153	1537	5.15429	5.15429	9.23437
k141_9396	2747	7.0824	7.0824	12.7774
k141_75042	1944	8.18729	8.18785	8.87547
k141_18770	3955	7.6092	7.6092	13.1435
k141_37538	2768	6.88732	6.88732	6.01361
k141_46910	1851	5.43034	5.43034	5.49003
k141_15	3098	10.9752	10.9752	22.8589
k141_18771	1672	6.68463	6.68463	9.247
k141_103176	3091	19.4138	19.4138	78.2563
k141_75043	2489	6.06798	6.06798	8.80334
k141_84430	1632	6.49123	6.49123	7.84628
k141_16	2716	6.88504	6.88504	9.58478
k141_65667	1607	5.81743	5.81743	4.66855
k141_28159	1721	4.36474	4.36537	4.29575
k141_103177	3039	8.07061	8.07061	21.4301
k141_65668	1862	6.76285	6.76285	6.672
k141_9404	1620	10.049	10.049	13.1794
k141_46914	2454	5.66623	5.66623	6.99892
k141_56290	4630	16.7969	16.7969	34.6947
k141_93804	5783	10.0288	10.0288	18.9899
k141_18	1869	8.94532	8.94532	18.8864
k141_75046	2677	8.33518	8.33518	10.2143
k141_37544	3084	11.5184	11.5184	30.0548
k141_56291	1893	5.87665	5.87665	8.42388
k141_46917	1938	4.7377	4.7377	2.65696
k141_18774	6012	10.1952	10.1952	18.0292
k141_75048	1877	7.9421	7.9421	10.2748
k141_65670	3651	15.6364	15.6364	36.4232
k141_28162	4139	8.20582	8.20582	10.687
k141_20	2628	19.3628	19.3628	168.894
k141_103187	1898	5.67277	5.67277	7.96837
k141_93809	1795	6.64012	6.64012	14.8387
k141_18777	2540	6.00837	6.00837	8.27531
k141_28167	1530	4.52464	4.52464	3.39391
k141_65675	2875	11.7563	11.7563	30.5529
k141_24	1947	10.5715	10.5715	42.6003
k141_75055	2753	10.4871	10.4871	19.6889
k141_46926	1673	6.6415	6.6415	4.01595
k141_25	1526	7.23328	7.23328	14.3099
k141_103193	1525	17.9585	17.9585	48.9249
k141_18783	2246	9.85592	9.85592	18.5453
k141_18784	1757	7.2066	7.2066	12.118
k141_56306	1767	14.6914	14.6914	18.8821
k141_29	1928	189.138	189.138	14630.6
