contigName	contigLen	totalAvgDepth	sample.sorted.bam	sample.sorted.bam-var
k119_28	2219	6.21798	6.21798	7.96459
k119_5625	1537	4.09229	4.09229	2.26711
k119_5637	1569	9.33827	9.33827	19.3806
k119_5649	1925	5.38592	5.38592	6.48968
k119_5667	1751	4.14179	4.14179	2.848
k119_131	1870	4.60523	4.60523	4.25997
k119_5701	1643	4.70328	4.70328	2.80935
k119_5702	2164	5.05511	5.05511	4.39683
k119_146	2015	6.32118	6.32118	5.06042
k119_155	2676	5.21932	5.21932	4.18636
k119_5729	2262	4.52083	4.52083	4.77741
k119_179	2149	6.44622	6.44622	4.36936
k119_215	1586	5.55641	5.55641	4.27208
k119_223	1883	5.15291	5.15291	5.28899
k119_5768	5109	10.5247	10.5247	29.7858
k119_5788	1656	5.50332	5.50332	3.36244
k119_272	1639	6.30692	6.30692	7.30697
k119_276	1636	4.57739	4.57739	3.63142
k119_5808	1536	5.09452	5.09452	4.52892
k119_5817	2722	11.4358	11.4358	38.2919
k119_5821	1638	4.72043	4.72043	4.97897
k119_330	2003	5.99406	5.99406	7.56101
k119_5856	1832	5.83294	5.83294	4.96729
k119_336	1905	3.60969	3.60969	4.06024
k119_343	6326	8.85476	8.85476	16.2603
k119_349	1731	4.20493	4.20493	2.25291
k119_5901	1588	4.5146	4.5146	3.16297
k119_5918	1797	5.32969	5.32969	5.91738
k119_378	3246	8.42571	8.42571	12.5908
k119_448	2203	4.69898	4.69898	4.24181
k119_485	1528	3.6582	3.6582	1.92014
k119_6029	1509	5.15305	5.15305	7.12674
k119_6037	2168	5.46234	5.46234	3.71032
k119_522	1636	5.08143	5.08143	5.46068
k119_6075	1826	4.0531	4.0531	2.63421
k119_556	2320	7.17972	7.17972	15.9336
k119_6098	5656	7.91936	7.91936	12.3877
k119_565	3697	4.27432	4.27432	4.05304
k119_6119	2499	3.68497	3.68497	2.60601
k119_6128	1679	3.55199	3.55199	3.08514
k119_596	1505	5.88339	5.88339	9.42659
k119_6144	1975	4.74849	4.74849	3.34624
k119_6151	1789	7.97926	7.97926	17.0922
k119_6164	2225	8.00482	8.00482	5.16005
k119_631	2065	4.40783	4.40783	3.49137
k119_6170	2248	11.2479	11.2479	13.5064
k119_648	1735	3.58423	3.58423	1.56754
